epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16067.9,1.11287,1.39989,1.35722,0.63725,0.74128,0.76194,0.51683,1.31089,1.74861,1.59363,0.000540037,0.000540037,0.000540037
43,16364.1,1.00015,1.31962,1.31858,0.64437,0.82944,0.7427,0.47422,1.34087,1.61992,1.66739,0.000531038,0.000531038,0.000531038
44,16661,1.05305,1.29418,1.30017,0.65156,0.69215,0.70289,0.46036,1.30731,1.81991,1.66778,0.000522039,0.000522039,0.000522039
45,16958.2,1.04079,1.35382,1.34465,0.70315,0.75873,0.7802,0.50378,1.23992,1.56498,1.5344,0.00051304,0.00051304,0.00051304
46,17256.2,1.08724,1.33782,1.3266,0.77123,0.7118,0.78156,0.50257,1.14176,1.74945,1.49031,0.00050404,0.00050404,0.00050404
47,17557.3,1.02374,1.27719,1.2828,0.73404,0.72396,0.76994,0.49389,1.16725,1.64791,1.50686,0.000495041,0.000495041,0.000495041
48,17870.7,1.01629,1.25058,1.29319,0.77303,0.71247,0.80597,0.50863,1.18142,1.47836,1.46726,0.000486042,0.000486042,0.000486042
49,18185.7,0.999,1.29018,1.29644,0.81727,0.72378,0.81058,0.52072,1.22986,1.4627,1.49393,0.000477043,0.000477043,0.000477043
50,18513.3,0.99667,1.21758,1.30003,0.76695,0.58336,0.70901,0.50859,1.16579,1.56161,1.43874,0.000468044,0.000468044,0.000468044
51,18831.3,1.00748,1.20183,1.29084,0.75632,0.70609,0.76425,0.51316,1.1445,1.48816,1.42203,0.000459045,0.000459045,0.000459045
52,19127.7,1.02725,1.21685,1.29436,0.757,0.73976,0.7854,0.52438,1.20083,1.53461,1.49729,0.000450046,0.000450046,0.000450046
53,19427.1,1.00459,1.18477,1.28145,0.80452,0.76793,0.80289,0.53515,1.22603,1.51123,1.48281,0.000441047,0.000441047,0.000441047
54,19682.3,0.97304,1.25416,1.28187,0.76684,0.69417,0.80073,0.53715,1.17988,1.54515,1.48361,0.000432048,0.000432048,0.000432048
55,20000.8,0.99906,1.17597,1.27808,0.7451,0.73496,0.75674,0.50882,1.11165,1.67905,1.41543,0.000423049,0.000423049,0.000423049
56,20322,0.9931,1.20849,1.29793,0.80338,0.80164,0.84436,0.55676,1.16212,1.38127,1.43696,0.000414049,0.000414049,0.000414049
57,20636.4,0.95486,1.14351,1.27716,0.756,0.76444,0.81408,0.55115,1.07777,1.49811,1.39755,0.00040505,0.00040505,0.00040505
58,20947.2,0.99395,1.15842,1.27322,0.65087,0.77291,0.77162,0.53167,1.09427,1.53866,1.40263,0.000396051,0.000396051,0.000396051
59,21262.4,0.96474,1.11974,1.24746,0.70687,0.66644,0.77084,0.49304,1.11911,1.6307,1.42454,0.000387052,0.000387052,0.000387052
60,21580.5,0.89624,1.04158,1.22922,0.80043,0.7664,0.81321,0.50411,1.23431,1.40308,1.53896,0.000378053,0.000378053,0.000378053
61,21908.5,0.97062,1.12306,1.27197,0.87621,0.69558,0.77705,0.55867,1.15897,1.30492,1.49915,0.000369054,0.000369054,0.000369054
62,22239.4,0.91217,1.10903,1.2427,0.86512,0.77048,0.81443,0.54341,1.18276,1.36118,1.51882,0.000360055,0.000360055,0.000360055
63,22544.1,0.91658,1.07966,1.23183,0.69162,0.68465,0.71279,0.47437,1.20497,1.54323,1.53262,0.000351056,0.000351056,0.000351056
64,22850.8,0.94533,1.0413,1.2569,0.79195,0.7209,0.8125,0.51731,1.21266,1.46015,1.54088,0.000342057,0.000342057,0.000342057
65,23124.2,0.90276,0.98236,1.24214,0.74778,0.76013,0.80966,0.53295,1.19577,1.46321,1.46656,0.000333058,0.000333058,0.000333058
66,23381.2,0.93601,1.02514,1.23682,0.77823,0.79681,0.7898,0.5521,1.20185,1.5256,1.51749,0.000324058,0.000324058,0.000324058
67,23637.5,0.88921,0.98565,1.21358,0.72395,0.71988,0.77394,0.53663,1.15446,1.46003,1.47103,0.000315059,0.000315059,0.000315059
68,23905.1,0.8319,0.99323,1.21206,0.73115,0.6884,0.73822,0.54237,1.11256,1.55671,1.4611,0.00030606,0.00030606,0.00030606
69,24161.7,0.86681,0.97078,1.21549,0.80732,0.63724,0.72897,0.53277,1.17483,1.55056,1.47453,0.000297061,0.000297061,0.000297061
70,24426.8,0.91932,1.0227,1.21481,0.87383,0.68435,0.81494,0.55614,1.22753,1.46234,1.485,0.000288062,0.000288062,0.000288062
71,24683.9,0.87482,0.95767,1.22979,0.81624,0.75938,0.82965,0.5485,1.27554,1.45836,1.52469,0.000279063,0.000279063,0.000279063
72,24940.8,0.92704,1.00878,1.23147,0.76243,0.8272,0.82448,0.5609,1.25634,1.43731,1.53666,0.000270064,0.000270064,0.000270064
73,25192.9,0.90799,0.93024,1.2097,0.74915,0.78469,0.79984,0.54146,1.22189,1.47069,1.50404,0.000261065,0.000261065,0.000261065
74,25446.3,0.88636,0.97191,1.2206,0.78088,0.77651,0.8104,0.52183,1.22356,1.48912,1.51421,0.000252066,0.000252066,0.000252066
75,25697.2,0.83837,0.92363,1.18889,0.71673,0.79537,0.80675,0.54009,1.19724,1.49157,1.47628,0.000243067,0.000243067,0.000243067
76,25986,0.86363,0.95517,1.20832,0.83803,0.71601,0.80992,0.55361,1.18855,1.51718,1.44079,0.000234068,0.000234068,0.000234068
77,26251.2,0.86103,0.9221,1.17515,0.72066,0.83121,0.82083,0.56021,1.13564,1.43911,1.4358,0.000225068,0.000225068,0.000225068
78,26503.4,0.88382,0.92538,1.19823,0.81452,0.70414,0.82672,0.55049,1.18221,1.51238,1.47539,0.000216069,0.000216069,0.000216069
79,26754,0.80815,0.88803,1.19243,0.76506,0.8157,0.85477,0.5737,1.14708,1.43346,1.44047,0.00020707,0.00020707,0.00020707
80,27006,0.8187,0.91953,1.18532,0.79902,0.82157,0.8418,0.56748,1.07349,1.32725,1.41005,0.000198071,0.000198071,0.000198071
81,27267.5,0.79687,0.88227,1.16134,0.7541,0.7601,0.81572,0.57921,1.1198,1.3311,1.44482,0.000189072,0.000189072,0.000189072
82,27521.4,0.81898,0.87291,1.16822,0.71883,0.81075,0.77079,0.54579,1.11284,1.47453,1.44149,0.000180073,0.000180073,0.000180073
83,27773.6,0.78917,0.86798,1.16311,0.82182,0.76361,0.78111,0.5366,1.11298,1.4718,1.43873,0.000171074,0.000171074,0.000171074
84,28043.7,0.82312,0.86823,1.16173,0.85116,0.78048,0.80044,0.54779,1.15211,1.436,1.43891,0.000162075,0.000162075,0.000162075
85,28329.3,0.81814,0.86561,1.1614,0.81301,0.82754,0.84599,0.57416,1.10066,1.3371,1.4009,0.000153076,0.000153076,0.000153076
86,28584.2,0.79986,0.85587,1.15367,0.8498,0.79628,0.86874,0.58423,1.09546,1.28517,1.38616,0.000144077,0.000144077,0.000144077
